,itemID,title,author,publisher,main topic,subtopics
69,35114,Das Spiel der Götter 19,Steven Erikson,Blanvalet Taschenbuchverl,FMB,"[FBA,FMB,FYT]"
70,60628,Das Spiel der Götter 17,Steven Erikson,Blanvalet Taschenbuchverl,FMB,[]
71,31091,Die Hexenholzkrone 1,Tad Williams,Klett-Cotta Verlag,FMB,[FYT]
72,54132,An Absolutely Remarkable Thing,Hank Green,Penguin LCC US,FBA,"[FJ,FL,FMW,FXB]"
73,14207,Der letzte Wunsch,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FYB,FYT]"
74,809,Geschichten aus dem gefährlichen Königreich,J.R.R. Tolkien,Klett-Cotta Verlag,FMB,"[FYB,FYT]"
75,73840,Astrid Lindgren,María Isabel Sánchez Vegara,Insel Verlag GmbH,JBSF1,"[5AF,JBSF1,YBCS,YBL,YNB,YNG,YNL,YNM,YNMF,YX]"
76,31293,Meine Kindergarten-Freunde (Pferde),,Ars Edition GmbH,YBG,"[5AC,5JA,YBG,YBL,YXHB,YZG,YZS]"
77,43652,Mein Freund Salim,Uticha Marmon,Magellan GmbH,YFB,"[5AJ,5PG]"
78,16927,A Long Way Down,Jason Reynolds,Faber And Faber Ltd.,YFB,"[5AN,YDP,YFH,YFN,YXQ]"
79,38013,League of Legends. Die Reiche von Runeterra,,Knaur HC,FBA,"[FBA,FM,FYV,FZ,SXE,3MR]"
80,69262,Mein Immer-wieder-Stickerbuch: Ostern,Felicity Brooks,Usborne Verlag,YBG,"[5HPF,YBL]"
81,48446,Escape-Stickerbuch - Juwelenraub,Philip Kiefer,Ars Edition GmbH,YBG,"[5AJ,YBG,YBL,YFCF,YNVP]"
82,7512,Mein Glitzer-Sticker-Schloss: Meerjungfrauen,Laura Leintz,Carlsen Verlag GmbH,JNLA,"[5AF,4CA,JNLA,YBG,YBL]"
83,42408,Mein Immer-wieder-Stickerbuch: Im Sommer,Hannah Watson,Usborne Verlag,YBG,[YBL]
84,49921,Wow! Das Metallic-Stickerbuch - Abenteuer Unterwasserwelt,,Ars Edition GmbH,YBG,"[5AD,YBG,YBL,YNNB1]"
85,71747,Der kleine Rabe Socke: Fehler finden mit dem kleinen Raben Socke,,Esslinger Verlag,YZS,"[5AD,5HKB,4CA,YBG,YBL,YN,YZS]"
86,22212,Mein Anziehpuppen-Stickerbuch: Einhörner,Fiona Watt,Usborne Verlag,YBG,[YBL]
87,78837,Mein Immer-wieder-Stickerbuch: Dschungel,Kirsteen Robson,Usborne Verlag,YBG,[YBL]
88,23115,Rune,Inka Loreen Minden,Books on Demand,FFJ,"[5PSG,FFJ,FMR,FRD]"
89,36339,Mein erstes Bastelbuch,,Coppenrath F,YNPH,"[5ABK,5AC,YBL]"
90,34873,Tortues à l'infini,John Green,Gallimard,YF,[]
91,34965,The Cruel Prince,Holly Black,Hot Key Books,YNXB,"[5AN,YFH,YXF,YXG]"
92,38171,Advanced Potion Making,Noel Green,Lulu.com,FL,[]
93,33208,The Walled City,Ryan Graudin,Hachette Children's Group,YFH,[]
94,40673,Du hast aber Mut!,Brigitte Blobel,Arena Verlag GmbH,YFS,[5AH]
95,78643,Wunder Sieh mich nicht an,Raquel J. Palacio,dtv Verlagsgesellschaft,YXHB,"[5AM,1KBB-US-NAK,YFB,YFN,YFS,YXHB,YXQ]"
96,73628,Die Töchter des Drachen/Der Thron der Libelle,Wolfgang Hohlbein,Lübbe,FM,[FMB]
97,32594,"Lovely Curse, Band 1: Erbin der Finsternis",Kira Licht,Ravensburger Verlag,FR,"[5AQ,5AX,FM,FMR,FRD,FRM,YFHR,YFM]"
98,19070,City of Elements 1,Nena Tramountani,Oetinger Taschenbuch GmbH,YFHR,[5AQ]
99,40949,Der siebte Sohn,Julia Maar,NOVA MD,DSY,"[DSY,FMH,FN,FYR,YFH,YFM]"
100,36495,Gregs Tagebuch - Band 1 und 2,Jeff Kinney,Baumhaus Verlag GmbH,YFS,"[5AL,5AM,1KBB,YFS,3MR]"
101,23654,Harry Potter 1 und der Stein der Weisen,Joanne K. Rowling,Carlsen Verlag GmbH,YFH,"[5AL,5LD,1DDU,6FG,FM,YFB,YFC,YFH,YFS]"
102,48285,Der dunkle Turm 1. Schwarz,Stephen King,Heyne Taschenbuch,FMB,"[FH,FK,FYT]"
103,27488,Erstes Zeichnen für Kinder ab 3 Jahren,,Schwager und Steinlein,YNV,"[YBL,YNV]"
104,77371,"Dark Deeds, Volume 3",Mike Brooks,SAGA PR,FLS,[]
105,69849,The Crossing of Ingo,Helen Dunmore,HarperCollins Publishers,YFH,[5AL]
106,44331,tiptoi® Die Welt der Musik,Inka Friese,Ravensburger Verlag,YNCS,"[5AD,YBG,YBL,YNCS]"
107,33258,Spring in eine Pfütze! Das Buch zum Fertigmalen,ViktoriaSarina,CE Community Editions,WZG,"[5AJ,5JA,1KBB,WD,WZG,YBG,YBL,YZG,YZS]"
108,4449,Trötsch Der kleine Maulwurf Puzzlebuch,Zdenek Miler,Trötsch Verlag GmbH,YBCS,"[5AD,YBG,YBL]"
109,46389,Superfreunde - Das Freundebuch,,Edition Michael Fischer,YXHB,"[5AG,WZG,YBG,YBL,YZG]"
110,14526,Herr der Diebe,Cornelia Funke,Oetinger Taschenbuch GmbH,YF,[5AL]
111,62556,Level 4. Die Stadt der Kinder,Andreas Schlüter,dtv Verlagsgesellschaft,YFCF,"[5AL,5AM,YFG,YXHB]"
112,69185,Die Kunst des Zeichnens für Kinder,Gecko Keck,Frech Verlag GmbH,WFA,"[5,5A,5AK,5J,5JA,5JB,W,WF,WFA]"
113,38931,"Das XXL-Entdecker-Set - Geniale Maschinen - Mit 10 Modellen zum Selberbauen, Sachbuch, Experimenten ",Rob Colson,Edition Michael Fischer,YNTC,"[YBL,YNTD,YNTG]"
114,44168,Doctor Who: The Legends of River Song,"Jenny T. Colgan, Jacqueline Rayner, Steve Lyons, G",Ebury Publishing,FL,[]
115,31995,Die Chroniken von Alice - Dunkelheit im Spiegelland,Christina Henry,Penhaligon,FMT,"[FBA,FKM,FMT,FN,FYB,FYT,FYV]"
116,25620,Feuer und Blut - Erstes Buch,George R.R. Martin,Penhaligon,FBA,"[FBA,FMB,FYT]"
117,21235,Assassin's Apprentice (The Illustrated Edition),Robin Hobb,Random House LCC US,FMB,"[FJ,FMH,3KHF]"
118,63730,Ich kann 1000 Dinge zeichnen. Kritzeln wie ein Profi!,Norbert Pautner,"Bassermann, Edition",YBG,"[5AF,YBL]"
119,2835,"Fire & Frost, Band 2: Vom Feuer geküsst",Elly Blake,Ravensburger Verlag,YFH,"[5AQ,5HKA,5JA,FDB,FM,YFG,YFH,YFM]"
120,21526,The House in the Cerulean Sea,T. J. Klune,Macmillan USA,FMK,[5PSG]
121,56753,The House in the Cerulean Sea,Tj Klune,TOR BOOKS,FMK,[5PSG]
122,72081,One Of Us Is Next,Karen M. McManus,Penguin Books Ltd (UK),YFCB,"[5AN,5X,1KBB,YFCF,YFM,YFS]"
123,47205,Metabolic,Dennis Stephan,united p.c. Verlag,FB,[]
124,40913,144000,Cornelia de Pablos,Dachbuch Verlag GmbH,FBA,"[FBA,FDB,FDK]"
125,11743,Lodernde Schwingen,Leigh Bardugo,Knaur Taschenbuch,FMB,"[FBA,FMB,FMR,FYT]"
126,66553,Das Lied von Eis und Feuer,George R. R. Martin,Penhaligon,FMB,"[FMH,FZ,WFX,WZS]"
127,74094,"Rätselblock ab 8 Jahre, Band 1, A5-Block",Agnes Spiecker,Hauschka Verlag,WDK,"[5AJ,4CD,WDK,YB,YBL,YNU,YNVP,YZG]"
128,9865,Redaktion Wadenbeißer Band 1,Ina Rometsch,moses. Verlag GmbH,YFCF,"[5AJ,X,YBL]"
129,26296,"Rätselblock ab 10 Jahre, Band 1",Agnes Spiecker,Hauschka Verlag,WDK,"[5AL,4CD,WDKC,WDKN,WDKX,YB,YBL,YNU,YNVP,YZG]"
130,67315,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 3,Rifujin Na Magonote,"Seven Seas Entertainment, LLC",XADC,[YFB]
131,38123,Kritzel-Kratzel-Osterspaß,,Schwager und Steinlein,YBGC,"[5AF,5HPF,YB,YBG,YBGC,YBL,YZG]"
132,11084,Titan,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]"
133,36594,Enceladus,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]"
134,25809,Enceladus - Die Rückkehr,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]"
135,19898,Jupiter,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[5AT,1ZMCK,FLU]"
136,66150,Io,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]"
137,33070,Dead or Alive,Derek Landy,HarperCollins Publishers,YFH,[]
138,73604,Das unsichtbare Leben der Addie LaRue,V. E. Schwab,FISCHER TOR,YFHR,"[5JA,1KBB-US-NAK,1KBB-US-NAKC,FJ,FMH,FMX,FR,FV,FYT,YFC,YFH,YFHR]"
139,24770,Das verlorene Buch,"Cassandra Clare, Wesley Chu",Goldmann TB,FMR,"[1FPC-CN-HB,1KBB-US-NAK,FM,FMR,FMX,3MRB]"
140,22579,Die Sprache der Dornen,Leigh Bardugo,Knaur HC,FBA,"[FBA,FMB,FN,FYB,FYT]"
141,9972,Die Pan-Trilogie 03: Die verborgenen Insignien des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]"
142,41474,Tochter der Götter - Glutnacht,Amanda Bouchet,Lübbe,FMB,"[5JA,FMR,FR]"
143,45331,Tochter der Götter - Schattenweg,Amanda Bouchet,Bastei Lübbe,FMB,"[5JA,FMR,FR]"
144,14306,Tochter der Götter - Eismagie,Amanda Bouchet,Bastei Lübbe,FMB,"[5JA,FMR,FR]"
145,71577,Ich und die Walter Boys,Ali Novak,cbt,YFM,"[5AP,1KBB-US-NAKC,1KBB-US-WMC,YFN]"
146,44954,Die Pan-Trilogie 02: Die dunkle Prophezeiung des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM]"
147,32458,ELFENKRONE,Holly Black,cbt,YFH,"[5AQ,FN,YFJ,3MRBF]"
148,61237,Aufstieg und Fall des außerordentlichen Simon Snow,Rainbow Rowell,dtv Verlagsgesellschaft,YFCF,"[5AP,1DDU-GB-E,YFCF,YFH,YFM,YFS,YXHB,YXHL,3MRBF]"
149,57212,Die Pan-Trilogie 01. Das geheime Vermächtnis des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]"
150,78743,Harry Potter Boxed Set: The Complete Collection (Adult Paperback),Joanne K. Rowling,Bloomsbury UK,YFH,[FM]
151,53473,Dreamworks Spirit Wild und Frei: Mein großes Malbuch,,Ravensburger Verlag,YBGC,"[5AF,YBL]"
152,61686,Gamechanger,L. X. Beckett,St Martin's Press,FL,[]
153,59146,WAS IST WAS Quiz Pferde,Lorena Lehnert,Tessloff Verlag,YNNJ24,"[5AJ,2ACG,WDKX,YBL,YNNH4,YNVP,YZG]"
154,69702,Fae - The Sins of the Wyrde,Graham Austin-King,Fallen Leaf Press,FM,[]
155,54640,Dune - Der Wüstenplanet,Frank Herbert,Heyne Taschenbuch,FLC,"[FLC,FLS,FYT]"
156,53898,"Fall; or, Dodge in Hell",Neal Stephenson,Harper Collins Publ. USA,FLPB,"[FHK,FJ]"
157,12316,Gregs Filmtagebuch - Endlich berühmt!,Jeff Kinney,Baumhaus Verlag GmbH,YFS,"[5AL,1KBB,YFQ,YFS,YZG,3MRB]"
158,17284,Meine Kindergarten-Freunde (Dinosaurier),,Ars Edition GmbH,YBG,"[5AC,5JB,YBG,YBL,YXHB,YZG,YZS]"
159,15813,Mein erstes Einhorn-Bastelbuch,,Coppenrath F,YNPH2,"[5AC,YBG,YBL]"
160,24075,Minecraft - Tipps für Kids,Joachim Klang,Heel Verlag GmbH,YNV,"[5AG,YBL]"
161,54274,Für kleine Zeichner - Tiere,Nico Fauser,"Bassermann, Edition",YBG,"[5AD,YBL]"
162,9338,Looking for Alaska,John Green,Penguin LCC US,YXHL,"[5AQ,YFB,YXG,YXJ]"
163,52234,Mein Sticker-Pferdebuch,,Ars Edition GmbH,YBG,"[5AD,YBG,YBL]"
164,47344,Spinnenkuss,Jennifer Estep,Piper Verlag GmbH,FMX,"[1KBB,1KBB-US-SCT,FMR,FMX]"
165,2230,Obsidian. Schattendunkel (mit Bonusgeschichten),Jennifer L. Armentrout,Carlsen Verlag GmbH,YFHR,"[5AQ,1KBB,FL,FMR,FMX,YFB,YFG,YFM]"
166,37833,Großvater und die Wölfe,Per Olov Enquist,dtv Verlagsgesellschaft,YFC,"[5AJ,1DNS]"
167,26112,Endlich großer Bruder,,dabelino,YBGC,"[WZG,YBGC,YZG]"
168,50982,Starsight,Brandon Sanderson,Orion Publishing Group,YFG,[]
169,45278,Rhythm of War - The Stormlight Archive 04,Brandon Sanderson,Macmillan USA,FM,[]
170,5512,Kindred - Verbunden,Octavia E. Butler,worten & meer,F,[]
171,77784,Matti und Sami und die drei größten Fehler des Universums,Salah Naoura,"Beltz GmbH, Julius",YXHB,"[5AK,YFB,YFM,YFQ,YXF,YXHB]"
172,26365,Ready Player One,Ernest Cline,FISCHER TOR,FBA,"[FBA,FDB,FHK,FJ,FLP,FYT,FYW,UBM,UBW,UDX,UGG,UYV,UYW]"
173,75305,One of Us is Lying,Karen M. McManus,Penguin Books Ltd (UK),YFCF,"[5AN,5X,YFCB,YFM,YFS]"
174,21692,Die Optimierer,Theresa Hannig,Lübbe,JBCT1,"[1D,FDB,FLQ,JBCT1,3MR]"
175,47217,Hollowpox,Jessica Townsend,Hachette Children's  Book,YFB,"[5AK,4CD,YFC,YFH]"
176,75928,Die Drachenschwestern,"Fox Virginia, Virginia Fox",Dragonbooks Publishing,FLC,"[FMR,FRD,FRM]"
177,17342,Gilde der Jäger 08. Engelsmacht,Nalini Singh,LYX,FMR,"[1KBB,F,FB,FMX,FP,FR]"
178,66247,Der Geist in der British Library und andere Geschichten aus dem Folly,Ben Aaronovitch,dtv Verlagsgesellschaft,VXWT,"[1DDU-GB-ESL,FF,FFK,FFP,FH,FMK,FMW,FMX,FYB,FYT,VXWT]"
179,44024,Mein erstes Stickerbuch: In der Natur,Felicity Brooks,Usborne Verlag,YBG,"[5AC,YBL]"
180,40898,Maze-Runner-Schuber (6 Bände im Taschenbuch-Schuber inklusive Bonusband mit »Crank Palace« und »Die ,James Dashner,Carlsen Verlag GmbH,FLQ,"[5AQ,YFC,YFE]"
181,5117,Cemetery Boys,Aiden Thomas,"Little, Brown Book Group",YFHR,"[YNXB,YNXW]"
182,6798,Kernstaub,Marie Graßhoff,Drachenmond Verlag,,[FM]
183,29335,Midnight Breed Novelle. Das Sehnen der Nacht,Lara Adrian,LYX,FBA,"[5JA,1KBB,FB,FBA,FMR,FR,FRD,FRT,3MRB]"
184,48175,Dunkle Lust,"Inka Loreen Minden, Nicole Henser",Books on Demand,FFK,"[5PS,5PSG,FMR,FRM]"
185,47684,Der X-Klub (Eine Krinar Erzählung),"Anna Zaires, Dima Zales",MOZAIKA LLC,FR,[]
186,53297,Der Clan der Wölfe 01: Donnerherz,Kathryn Lasky,Ravensburger Verlag,YFH,"[5AL,5HKA,5HPD,YFC,YFH,YFJ,YFM,YFP]"
187,28157,Loveless,Alice Oseman,Harper Collins Publ. UK,YXHL,"[YFM,YXW]"
188,19072,Vorstadtprinzessin,Carmen Korn,Rowohlt Taschenbuch,YFCB,"[5AQ,5LF,1DFG-DE-VH,YFB,3MRBA]"
189,59411,Krabat. Großdruck,Otfried Preußler,dtv Verlagsgesellschaft,YFJ,"[5AN,1DF,FN,YFT,3ML]"
190,1831,The Invisible Life of Addie LaRue,V.E. Schwab,Titan Books Ltd,FM,[]
191,8893,Pyramids,Terry Pratchett,Orion Publishing Group,FM,[]
192,57166,Zwei Jahre Ferien,Jules Verne,Hofenberg,FKW,[]
193,34235,Ember Queen,Laura Sebastian,Pan Macmillan,YFHR,"[YFC,YFM]"
194,15041,Winnie-the-Pooh,Alan Alexander Milne,Egmont UK Limited,YFA,"[5AF,5AG]"
195,67455,Wings of Fire - Winters Wandlung,Tui T. Sutherland,Adrian Verlag,YFC,"[YFH,YFP]"
196,45246,Exodus 9414 - Der dunkelste Tag,Thariot,FISCHER TOR,FLP,"[5JB,FJ,FLP,FLR,FLS,FLW]"
197,19880,Anton taucht ab,Milena Baisch,"Beltz GmbH, Julius",YF,[5AK]
198,25921,Mein erstes Bremen-Buch,Anne Rieken,Schuenemann C.E.,YBCB,"[1DFG-DE-VB,YBL]"
199,20860,Shadowmarch 1. Die Grenze,Tad Williams,Klett-Cotta Verlag,FMB,"[FYT,YFH]"
200,50027,Twilight,Stephenie Meyer,"Little, Brown Book Group",YFH,"[5AQ,YFB,YFM]"
201,13772,Le Petit Prince (French),Antoine de Saint-Exupery,Houghton Mifflin Harcourt,YF,[5AL]
202,30295,Das Lied der Dunkelheit,Peter V. Brett,Heyne Taschenbuch,FMB,[FYT]
203,45799,Die Chroniken von Alice - Finsternis im Wunderland,Christina Henry,Penhaligon,FBA,"[FBA,FKM,FMT,FN,FYT,FYV]"
204,25451,Die Chroniken der Meerjungfrau - Der Fluch der Wellen,Christina Henry,Penhaligon,FMT,"[FBA,FKM,FMT,FN,FYT,FYV]"
205,50117,What Abigail Did That Summer,Ben Aaronovitch,Orion Publishing Group,FBAN,"[1DDU-GB-ESLC,1DDU-GB-ESLF,FD,FFP,FMM,FMX,FXB,FXR,FXS]"
206,24102,Meine Freundin Conni: Kunterbunter Mitmach-Spaß - Kritzel- und Weitermalbuch,Laura Leintz,Carlsen,YBG,"[5AC,YBLD,YBLH]"
207,61637,The Wind's Twelve Quarters: Stories,Ursula K. Le Guin,Harper Collins Publ. USA,FM,[]
208,60565,Meine Freunde (Clevere Jungs!),,gondolino GmbH,YZG,"[5AG,4CD,CBV,DC,DNC,DND,JNG,JNLA,VFX,VS,WDH,WZG,YBG,YBGC,YBLA,YBLD,YBLH,YBLN1,YBLP,YPC,YPCA1,YXHB]"
209,56310,Die Haarteppichknüpfer,Andreas Eschbach,Lübbe,FL,[]
210,75473,"Canticle for Leibowitz, A",Walter M. Miller,Harper Voyager,FL,[]
211,67006,Mein erstes Feuerwehr-Bastelbuch,,"Coppenrath, Münster",,[5AC]
212,9219,"Date Me, Bryson Keller","Kevin van Whye, Kevin Van Whye",Penguin Books Ltd (UK),YXHL,"[5AN,5PSG,YFM,YFS]"
213,36071,Kiss Me Once,Stella Tack,Ravensburger Verlag,YFM,"[5AQ,5AX,FRD,FRM,YFM]"
